head_event	relation	tail_event
湿性的黄斑变性	X-Y	视物变形
睫状肌的调节作用	X-Y	屈光力增加
串珠子训练	uncorrelated	散光
盘状角膜炎	X-Y	流泪
注意眼部卫生和保护工作	Accelerator	恢复
慢性的沙眼	X-Y	手术治疗
小儿角膜炎	X-Y	由于细菌、病毒、真菌、立克次体及阿米巴原虫等感染引起
反复发作的病人	Accelerator	免疫抑制剂
视网膜浅脱离	X-Y	视网膜激光光凝术
急性期	Accelerator	睫状肌麻痹剂
过敏性结膜	X-Y	控制揉眼的冲动
糖尿病视网膜病变	X-Y	注意饮食的控制
玻璃体积血不吸收、增殖、牵拉	Accelerator	同时进行视网膜光凝
发生于周边部	Accelerator	视网膜激光光凝术
视网膜血管堵塞	X-Y	某一个区域眼前黑影视野缺损
阅读困难	Accelerator	佩戴花镜
散光	X-Y	制定最准确的方案
伴有眼部胀痛	Accelerator	眼内炎
不及时处理	Accelerator	引起严重并发症
40岁以后	Accelerator	下降
血糖控制好	Accelerator	眼底病变的发展就会减缓
消除眼睛肿	X-Y	枕头不要太高
角膜炎	X-Y	早选取敏感的抗生素药物
结膜血管瘤	X-Y	观察
散光	X-Y	角膜塑形镜
眼底出血	Accelerator	视野的恢复也是比较困难
视物模糊	X-Y	及早到正规医院做相关检查
配戴老花镜	X-Y	初步确定近用度数
早期	Accelerator	卵磷脂络合碘片
眼底出血	X-Y	药物治疗
散光	X-Y	验光后佩戴框架镜矫正
散光加近视	X-Y	佩戴隐形眼镜
气体	X-Y	结膜代偿性的充血
视网膜脱落	X-Y	玻璃体切割手术联合视网膜脱离复位
眼生理性调节功能下降	Accelerator	老花眼
角膜炎	X-Y	边缘性角膜炎
老花眼	X-Y	体育锻炼
眼压升高	X-Y	青光眼
年龄比较小	Accelerator	不愿意睁眼
视网膜的静脉阻塞	X-Y	新生血管
老花眼	X-Y	延缓花眼的进展
病毒感染	Accelerator	抗病毒的药物
干性的黄斑变性	X-Y	视网膜下脂质物的沉积
小孩散光	X-Y	到正规医院做检查
角膜炎	X-Y	非甾体消炎药物
眼底血管样条纹	X-Y	激光治疗
改善不良习惯	Accelerator	减少复发
眼底病变在3级或4级以上	Accelerator	激光治疗
散光的轴位	Accelerator	制定最准确的方案
睫状肌长时间的收缩、痉挛，会形成牵拉	Accelerator	有近视的散光
眼底出血	X-Y	针对原发病根源进行治疗
伴有眼部胀痛	Accelerator	葡萄膜炎
丝状角膜炎	X-Y	暂停药物的使用
眼睛视力下降的原因	X-Y	急性闭角型青光眼
免疫力低下	Accelerator	全身的抗菌和抗病毒的治疗
细菌性角膜炎	X-Y	眼睛变得肿胀
沙眼	X-Y	耳前淋巴结肿大
角膜炎	X-Y	选取合理的药物控制炎症
外伤	Accelerator	手术治疗
严重的情况	Accelerator	角膜炎
散光	X-Y	人工晶体植入手术
睫状肌功能逐渐降低	Accelerator	老花眼
早期	Accelerator	戒烟
经常看近距离的时间过久	X-Y	假性度数形成
病毒性角膜炎	X-Y	更昔洛韦
雌激素水平会有所改变	Accelerator	眼睛肿胀
急性沙眼感染	X-Y	不留后遗症
视网膜血管堵塞	X-Y	活血化瘀的药物
熬夜	Accelerator	睑板腺功能障碍
幼儿	Accelerator	不留后遗症
积极的治疗	Accelerator	视力重新恢复
结膜下出血	X-Y	无需特殊治疗
四期到五期	Accelerator	玻璃体切割手术治疗
病情稳定	Accelerator	考虑出院
比较严重的时候	Accelerator	角膜移植术
凸透镜	X-Y	矫正远视和老花眼
早期	Accelerator	叶黄素
细菌感染	Accelerator	泪液分泌异常
看近视清晰	X-Y	散光
角膜炎	X-Y	角膜溃疡
麦粒肿	X-Y	红霉素眼膏
散光	X-Y	术后发生眩光
孩子老是眨眼睛	X-Y	小牛血去蛋白提取物眼用凝胶
慢性期	Accelerator	乳头及滤泡增生
到正规医院	Accelerator	明确具体散光类型以及散光度数
根据正确病因选择合理药物	Accelerator	完全治愈
色弱	X-Y	颜色辨别能力较弱
严重	Accelerator	黄斑出血
时间长了	Accelerator	结膜炎症反应
药物控制效果不好	Accelerator	角膜溃疡
糖尿病性视网膜病变	X-Y	眼底出血可能就不发生或出现的晚
老花眼	X-Y	头痛、头晕
手揉眼睛	X-Y	结膜下出血
泪囊炎	X-Y	泪道冲洗
结膜炎	X-Y	非甾体消炎药物
白塞病性葡萄膜炎	X-Y	英夫利西单抗
观看手机或者做其他工作	Accelerator	引起角膜炎
强光下活动	Accelerator	戴遮光眼镜
高度近视	X-Y	避免剧烈的运动
确诊	Accelerator	及时治疗
盘状角膜炎	X-Y	畏光
泪囊炎	X-Y	局部抗炎
眼睛花、头痛	X-Y	保持情绪稳定
泪囊阻塞	Accelerator	细菌滋生
闭目养神	Accelerator	缓解老花眼所引起的视物模糊、视力疲劳
配戴有点晕	Accelerator	适当降低25-50度左右的散光
全色盲	X-Y	对于亮度极为敏感
治疗的积极性	Accelerator	治愈的时间
孔源性视网膜脱离	X-Y	及时去医院检查
不存在眼底疾病等其他的影响视力的疾病	Accelerator	手术以后视觉质量通常都非常好的
暴露性角膜炎	X-Y	先治疗原因
眼睛看东西模糊	X-Y	青光眼
儿童散光	X-Y	佩戴眼镜
黄斑部位有出血	X-Y	有一个大黑点
泪囊炎	X-Y	细菌感染
老视	X-Y	近距离阅读模糊会更为明显
散光	X-Y	严不严重
急性期	Accelerator	快速地控制眼部的炎症
没有得到及时的矫正	Accelerator	影响双眼立体视觉功能的发育
无痛性视力突然下降	Accelerator	玻璃体积血
散光	X-Y	晶体源性散光
玻璃体后脱离	X-Y	及早处理
邻近组织的炎症	X-Y	角膜炎
眼睛下面有红点	X-Y	皮下出血点
早期	Accelerator	逐渐治愈
视网膜浅脱离	X-Y	及早行手术治疗
散光的度数	Accelerator	恢复良好的视觉质量
